"word1","word2","freq"
"new","twitter",5
"next","door",5
"next","season",5
"nfl","draft",5
"night","like",5
"nine","months",5
"north","korea",5
"now","’m",5
"now","get",5
"now","go",5
"now","said",5
"now","still",5
"officials","say",5
"one","leg",5
"one","side",5
"one","three",5
"one","will",5
"one","word",5
"one","worst",5
"opening","day",5
"paintball","cases",5
"part","one",5
"people","’s",5
"people","care",5
"people","living",5
"people","made",5
"people","might",5
"people","need",5
"per","game",5
"peyton","manning",5
"play","games",5
"players","like",5
"playing","time",5
"pm","april",5
"pm","friday",5
"pm","saturday",5
"pm","wednesday",5
"police","officer",5
"preheat","oven",5
"press","release",5
"public","schools",5
"put","aside",5
"put","back",5
"read","blog",5
"read","book",5
"really","cool",5
"really","hope",5
"really","interested",5
"really","just",5
"really","love",5
"recreation","area",5
"red","bull",5
"rest","life",5
"rt","im",5
"said","also",5
"said","company",5
"said","ill",5
"said","ive",5
"said","john",5
"said","last",5
"said","said",5
"said","san",5
"said","thursday",5
"saturday","pm",5
"say","love",5
"saying","“",5
"school","districts",5
"scored","points",5
"second","round",5
"second","time",5
"second","year",5
"see","many",5
"see","someone",5
"see","ya",5
"senate","bill",5
"several","weeks",5
"since","first",5
"six","games",5
"small","business",5
"smith","said",5
"something","good",5
"sometimes","just",5
"sort","thing",5
"spread","word",5
"st","century",5
"standard","poors",5
"state","park",5
"still","need",5
"still","trying",5
"stock","market",5
"superior","court",5
"sure","check",5
"tell","story",5
"th","birthday",5
"th","may",5
"th","minute",5
"th","st",5
"th","street",5
"th","th",5
"thanks","looking",5
"thanks","sharing",5
"theres","one",5
"things","will",5
"think","hes",5
"think","ill",5
"think","one",5
"third","world",5
"thursday","night",5
"thus","far",5
"time","go",5
"time","im",5
"time","said",5
"time","spent",5
"time","start",5
"told","reporters",5
"tonight","pm",5
"tried","get",5
"two","men",5
"two","minutes",5
"u","get",5
"u","u",5
"upon","us",5
"us","can",5
"us","get",5
"us","know",5
"us","will",5
"vast","majority",5
"vice","versa",5
"want","hear",5
"want","see",5
"washington","post",5
"way","make",5
"way","will",5
"web","site",5
"weeks","later",5
"well","just",5
"well","know",5
"went","-",5
"werent","going",5
"west","coast",5
"whole","world",5
"will","appear",5
"will","become",5
"will","call",5
"will","choose",5
"will","face",5
"will","lead",5
"will","love",5
"will","offer",5
"will","put",5
"will","still",5
"will","turn",5
"wine","list",5
"wish","luck",5
"within","hours",5
"within","reach",5
"work","today",5
"worth","every",5
"years","now",5
"years","prison",5
"yet","still",5
"youll","see",5
"-","loss",4
"-","visit",4
"-","win",4
"-year-old","man",4
"—","can",4
"—","just",4
"’ll","just",4
"’ll","see",4
"’m","pretty",4
"’m","thinking",4
"’s","called",4
"’s","done",4
"’s","fault",4
"’s","first",4
"’s","hard",4
"’s","little",4
"’s","much",4
"’s","never",4
"’ve","always",4
"’ve","heard",4
"’ve","met",4
"“","got",4
"“","like",4
"“","love",4
"”","one",4
"able","get",4
"according","report",4
"adoptive","parents",4
"alive","well",4
"allow","us",4
"allowed","talk",4
"almost","every",4
"almost","immediately",4
"already","know",4
"already","made",4
"also","called",4
"also","like",4
"also","makes",4
"also","told",4
"always","one",4
"always","say",4
"always","used",4
"always","will",4
"announced","plans",4
"annual","meeting",4
"another","day",4
"another","woman",4
"anyone","information",4
"anyone","know",4
"apple","cider",4
"april","st",4
"area","said",4
"around","can",4
"around","country",4
"around","said",4
"arts","center",4
"ask","question",4
"attorneys","office",4
"away","just",4
"back","can",4
"back","day",4
"back","dont",4
"back","onto",4
"back","sleep",4
"back","soon",4
"bad","idea",4
"bad","news",4
"bad","people",4
"bad","things",4
"baking","sheet",4
"barrels","per",4
"basketball","three",4
"beautiful","day",4
"become","one",4
"beginning","end",4
"best","luck",4
"best","players",4
"best","team",4
"best","thing",4
"best","time",4
"big","brother",4
"big","east",4
"bill","rights",4
"blog","entry",4
"blog","post",4
"blog","posts",4
"bob","dylan",4
"books","really",4
"born","raised",4
"brain","tumor",4
"bring","back",4
"bump","grind",4
"business","cards",4
"cabbage","patch",4
"came","across",4
"can","choose",4
"can","count",4
"can","know",4
"can","learn",4
"can","look",4
"can","manage",4
"can","now",4
"can","stand",4
"can","win",4
"can","work",4
"can’t","help",4
"cant","beat",4
"cant","see",4
"cant","stop",4
"capitol","hill",4
"car","accident",4
"card","can",4
"cease","exist",4
"central","park",4
"cents","per",4
"cents","percent",4
"chance","win",4
"charter","school",4
"charter","schools",4
"christmas","tree",4
"city","hall",4
"city","will",4
"claim","prize",4
"cleveland","heights",4
"coach","mike",4
"coach","nate",4
"cold","water",4
"college","students",4
"come","plan",4
"come","terms",4
"come","together",4
"come","true",4
"come","visit",4
"community","college",4
"compared","percent",4
"consumer","confidence",4
"convention","center",4
"couldnt","see",4
"county","police",4
"county","sheriffs",4
"credit","card",4
"cup","coffee",4
"daily","basis",4
"daily","news",4
"dark","chocolate",4
"day","can",4
"day","go",4
"day","thank",4
"day","well",4
"day","will",4
"days","away",4
"days","later",4
"days","now",4
"decide","whether",4
"decided","give",4
"decided","go",4
"deciding","whether",4
"defense","attorneys",4
"department","transportation",4
"didn’t","know",4
"didn’t","seem",4
"didn’t","want",4
"didnt","expect",4
"didnt","go",4
"didnt","happen",4
"didnt","just",4
"didnt","make",4
"doesnt","look",4
"doesnt","seem",4
"doesnt","want",4
"don’t","go",4
"don’t","like",4
"done","well",4
"dont","believe",4
"dont","expect",4
"dont","make",4
"dont","remember",4
"dont","take",4
"doors","open",4
"dr","seuss",4
"earn","money",4
"east","st",4
